record_id,scenario_family,source_name,source_url,source_basis,product,product_category,lot_or_batch,observed_text,expected_ctes,expected_abstentions,gold_label_method
web500-0023,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh sprouts,sprouts,SPR-LOT-220,EPCIS TransformationEvent consumes input lot SPR-LOT-220 and produces output lot OUT-SPR-LOT-220.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0024,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh tuna,seafood,TUNA-LOT-771,EPCIS TransformationEvent consumes input lot TUNA-LOT-771 and produces output lot OUT-TUNA-LOT-771.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0025,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",soft cheese,soft cheese,CHEESE-LOT-319,EPCIS TransformationEvent consumes input lot CHEESE-LOT-319 and produces output lot OUT-CHEESE-LOT-319.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0026,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bulk olive oil,oil ingredient,OIL-LOT-540,EPCIS TransformationEvent consumes input lot OIL-LOT-540 and produces output lot OUT-OIL-LOT-540.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0027,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bottled olive oil,finished oil,BOT-OIL-903,EPCIS TransformationEvent consumes input lot BOT-OIL-903 and produces output lot OUT-BOT-OIL-903.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0028,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh grapes,fresh produce,GRAPE-LOT-104,EPCIS TransformationEvent consumes input lot GRAPE-LOT-104 and produces output lot OUT-GRAPE-LOT-104.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0029,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",leaf lettuce,leafy greens,LETT-LOT-514,EPCIS TransformationEvent consumes input lot LETT-LOT-514 and produces output lot OUT-LETT-LOT-514.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0030,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",prepared deli salad,prepared food,DELI-LOT-822,EPCIS TransformationEvent consumes input lot DELI-LOT-822 and produces output lot OUT-DELI-LOT-822.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0031,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh basil,fresh herbs,BASIL-LOT-042,Pallet shipping event records fresh basil lot BASIL-LOT-042 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0032,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh cucumber,fresh produce,CUC-LOT-118,Pallet shipping event records fresh cucumber lot CUC-LOT-118 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0033,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh sprouts,sprouts,SPR-LOT-220,Pallet shipping event records fresh sprouts lot SPR-LOT-220 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0034,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh tuna,seafood,TUNA-LOT-771,Pallet shipping event records fresh tuna lot TUNA-LOT-771 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0035,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",soft cheese,soft cheese,CHEESE-LOT-319,Pallet shipping event records soft cheese lot CHEESE-LOT-319 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0036,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bulk olive oil,oil ingredient,OIL-LOT-540,Pallet shipping event records bulk olive oil lot OIL-LOT-540 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0037,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bottled olive oil,finished oil,BOT-OIL-903,Pallet shipping event records bottled olive oil lot BOT-OIL-903 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0038,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh grapes,fresh produce,GRAPE-LOT-104,Pallet shipping event records fresh grapes lot GRAPE-LOT-104 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0039,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",leaf lettuce,leafy greens,LETT-LOT-514,Pallet shipping event records leaf lettuce lot LETT-LOT-514 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0040,gs1-pallet-shipping,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",prepared deli salad,prepared food,DELI-LOT-822,Pallet shipping event records prepared deli salad lot DELI-LOT-822 through shipping dock S2.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0041,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh basil,fresh herbs,BASIL-LOT-042,AggregationEvent groups cases of fresh basil lot BASIL-LOT-042 onto pallet PAL-BASIL-LOT-042 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0042,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh cucumber,fresh produce,CUC-LOT-118,AggregationEvent groups cases of fresh cucumber lot CUC-LOT-118 onto pallet PAL-CUC-LOT-118 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0043,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh sprouts,sprouts,SPR-LOT-220,AggregationEvent groups cases of fresh sprouts lot SPR-LOT-220 onto pallet PAL-SPR-LOT-220 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0044,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh tuna,seafood,TUNA-LOT-771,AggregationEvent groups cases of fresh tuna lot TUNA-LOT-771 onto pallet PAL-TUNA-LOT-771 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0045,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",soft cheese,soft cheese,CHEESE-LOT-319,AggregationEvent groups cases of soft cheese lot CHEESE-LOT-319 onto pallet PAL-CHEESE-LOT-319 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0046,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bulk olive oil,oil ingredient,OIL-LOT-540,AggregationEvent groups cases of bulk olive oil lot OIL-LOT-540 onto pallet PAL-OIL-LOT-540 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0047,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bottled olive oil,finished oil,BOT-OIL-903,AggregationEvent groups cases of bottled olive oil lot BOT-OIL-903 onto pallet PAL-BOT-OIL-903 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0048,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh grapes,fresh produce,GRAPE-LOT-104,AggregationEvent groups cases of fresh grapes lot GRAPE-LOT-104 onto pallet PAL-GRAPE-LOT-104 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0049,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",leaf lettuce,leafy greens,LETT-LOT-514,AggregationEvent groups cases of leaf lettuce lot LETT-LOT-514 onto pallet PAL-LETT-LOT-514 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0050,gs1-aggregation-only,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",prepared deli salad,prepared food,DELI-LOT-822,AggregationEvent groups cases of prepared deli salad lot DELI-LOT-822 onto pallet PAL-DELI-LOT-822 with no movement.,[],[],manual_label_from_public_source_pattern
web500-0051,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh basil,fresh herbs,BASIL-LOT-042,EPCIS error declaration says a prior fresh basil event for lot BASIL-LOT-042 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0052,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh cucumber,fresh produce,CUC-LOT-118,EPCIS error declaration says a prior fresh cucumber event for lot CUC-LOT-118 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0053,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh sprouts,sprouts,SPR-LOT-220,EPCIS error declaration says a prior fresh sprouts event for lot SPR-LOT-220 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0054,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh tuna,seafood,TUNA-LOT-771,EPCIS error declaration says a prior fresh tuna event for lot TUNA-LOT-771 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0055,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",soft cheese,soft cheese,CHEESE-LOT-319,EPCIS error declaration says a prior soft cheese event for lot CHEESE-LOT-319 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0056,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bulk olive oil,oil ingredient,OIL-LOT-540,EPCIS error declaration says a prior bulk olive oil event for lot OIL-LOT-540 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0057,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bottled olive oil,finished oil,BOT-OIL-903,EPCIS error declaration says a prior bottled olive oil event for lot BOT-OIL-903 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0058,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh grapes,fresh produce,GRAPE-LOT-104,EPCIS error declaration says a prior fresh grapes event for lot GRAPE-LOT-104 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0059,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",leaf lettuce,leafy greens,LETT-LOT-514,EPCIS error declaration says a prior leaf lettuce event for lot LETT-LOT-514 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0060,gs1-error-declaration,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",prepared deli salad,prepared food,DELI-LOT-822,EPCIS error declaration says a prior prepared deli salad event for lot DELI-LOT-822 was incorrect.,[],"[""shipping""]",manual_label_from_public_source_pattern
web500-0061,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh basil,fresh herbs,BASIL-LOT-042,SmartProduct record: fresh basil lot BASIL-LOT-042 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0062,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh cucumber,fresh produce,CUC-LOT-118,SmartProduct record: fresh cucumber lot CUC-LOT-118 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0063,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh sprouts,sprouts,SPR-LOT-220,SmartProduct record: fresh sprouts lot SPR-LOT-220 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0064,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh tuna,seafood,TUNA-LOT-771,SmartProduct record: fresh tuna lot TUNA-LOT-771 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0065,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",soft cheese,soft cheese,CHEESE-LOT-319,SmartProduct record: soft cheese lot CHEESE-LOT-319 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0066,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",bulk olive oil,oil ingredient,OIL-LOT-540,SmartProduct record: bulk olive oil lot OIL-LOT-540 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0067,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",bottled olive oil,finished oil,BOT-OIL-903,SmartProduct record: bottled olive oil lot BOT-OIL-903 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0068,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh grapes,fresh produce,GRAPE-LOT-104,SmartProduct record: fresh grapes lot GRAPE-LOT-104 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0069,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",leaf lettuce,leafy greens,LETT-LOT-514,SmartProduct record: leaf lettuce lot LETT-LOT-514 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0070,smartproduct-manufactured,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",prepared deli salad,prepared food,DELI-LOT-822,SmartProduct record: prepared deli salad lot DELI-LOT-822 was manufactured in Location A.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0071,smartproduct-loaded-truck,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh basil,fresh herbs,BASIL-LOT-042,SmartProduct record: fresh basil lot BASIL-LOT-042 was loaded to Truck A and transported to Warehouse B.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0072,smartproduct-loaded-truck,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh cucumber,fresh produce,CUC-LOT-118,SmartProduct record: fresh cucumber lot CUC-LOT-118 was loaded to Truck A and transported to Warehouse B.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0073,smartproduct-loaded-truck,SmartProduct EPCIS/IoT paper,https://arxiv.org/abs/2210.09140,"The paper describes product manufactured, loaded/unloaded into/from trucks, transformed, pallet shipping, batch-level product lots, and IoT transport monitoring.",fresh sprouts,sprouts,SPR-LOT-220,SmartProduct record: fresh sprouts lot SPR-LOT-220 was loaded to Truck A and transported to Warehouse B.,"[""shipping""]",[],manual_label_from_public_source_pattern
